,estado,estado_ab,condado,partido,candidato,votos,fraccion_votos
134,Alabama,AL,Autauga,Republican,Ben Carson,1764,0.146
135,Alabama,AL,Autauga,Republican,Donald Trump,5387,0.445
137,Alabama,AL,Autauga,Republican,Marco Rubio,1785,0.148
138,Alabama,AL,Autauga,Republican,Ted Cruz,2482,0.205
139,Alabama,AL,Baldwin,Republican,Ben Carson,4221,0.084
140,Alabama,AL,Baldwin,Republican,Donald Trump,23618,0.469
141,Alabama,AL,Baldwin,Republican,John Kasich,2987,0.059
142,Alabama,AL,Baldwin,Republican,Marco Rubio,9703,0.193
143,Alabama,AL,Baldwin,Republican,Ted Cruz,8571,0.17
145,Alabama,AL,Barbour,Republican,Donald Trump,1710,0.501
150,Alabama,AL,Bibb,Republican,Donald Trump,1959,0.494
154,Alabama,AL,Blount,Republican,Ben Carson,1523,0.1
155,Alabama,AL,Blount,Republican,Donald Trump,7390,0.487
157,Alabama,AL,Blount,Republican,Marco Rubio,1843,0.122
158,Alabama,AL,Blount,Republican,Ted Cruz,3698,0.244
165,Alabama,AL,Butler,Republican,Donald Trump,1720,0.538
169,Alabama,AL,Calhoun,Republican,Ben Carson,2350,0.118
170,Alabama,AL,Calhoun,Republican,Donald Trump,8960,0.451
172,Alabama,AL,Calhoun,Republican,Marco Rubio,3251,0.163
173,Alabama,AL,Calhoun,Republican,Ted Cruz,3859,0.194
175,Alabama,AL,Chambers,Republican,Donald Trump,2169,0.476
180,Alabama,AL,Cherokee,Republican,Donald Trump,2777,0.521
185,Alabama,AL,Chilton,Republican,Donald Trump,5273,0.493
188,Alabama,AL,Chilton,Republican,Ted Cruz,2328,0.218
195,Alabama,AL,Clarke,Republican,Donald Trump,2308,0.502
200,Alabama,AL,Clay,Republican,Donald Trump,1920,0.476
205,Alabama,AL,Cleburne,Republican,Donald Trump,2120,0.483
210,Alabama,AL,Coffee,Republican,Donald Trump,4304,0.414
212,Alabama,AL,Coffee,Republican,Marco Rubio,1608,0.155
213,Alabama,AL,Coffee,Republican,Ted Cruz,2421,0.233
215,Alabama,AL,Colbert,Republican,Donald Trump,3858,0.474
218,Alabama,AL,Colbert,Republican,Ted Cruz,1601,0.197
230,Alabama,AL,Covington,Republican,Donald Trump,4608,0.481
233,Alabama,AL,Covington,Republican,Ted Cruz,1773,0.185
239,Alabama,AL,Cullman,Republican,Ben Carson,2301,0.11
240,Alabama,AL,Cullman,Republican,Donald Trump,10618,0.506
242,Alabama,AL,Cullman,Republican,Marco Rubio,2832,0.135
